Simulation Time,used STY,used MDO
1986.38,0.00163541,8.76E-05
1989.9,0.00163827,8.78E-05
1993.4,0.00164114,8.79E-05
1996.93,0.001644,8.81E-05
2000.46,0.00164687,8.82E-05
2004.08,0.00164974,8.84E-05
2007.49,0.0016526,8.86E-05
2010.92,0.00165547,8.87E-05
2014.44,0.00165833,8.89E-05
2017.96,0.0016612,8.90E-05
2021.48,0.00166408,8.92E-05
2025.07,0.00166695,8.93E-05
2028.56,0.00166981,8.95E-05
2032.04,0.00167268,8.96E-05
2035.53,0.00167554,8.98E-05
2039,0.00167841,8.99E-05
2042.5,0.00168127,9.01E-05
2046.06,0.00168415,9.03E-05
2049.57,0.00168702,9.04E-05
2053.02,0.00168988,9.06E-05
2056.6,0.00169275,9.07E-05
2060.08,0.00169561,9.09E-05
2063.63,0.00169847,9.10E-05
2067.06,0.00170134,9.12E-05
2070.55,0.00170421,9.13E-05
2074.07,0.00170708,9.15E-05
2077.54,0.00170995,9.17E-05
2081.07,0.00171282,9.18E-05
2084.54,0.00171569,9.20E-05
2088.07,0.00171855,9.21E-05
2091.55,0.00172142,9.23E-05
2095.04,0.00172429,9.24E-05
2098.58,0.00172716,9.26E-05
2102.09,0.00173003,9.27E-05
2105.6,0.00173289,9.29E-05
2109.19,0.00173577,9.30E-05
2112.79,0.00173863,9.32E-05
2116.29,0.00174149,9.33E-05
2119.82,0.00174436,9.35E-05
2123.42,0.00174723,9.37E-05
2126.99,0.00175009,9.38E-05
2130.46,0.00175295,9.40E-05
2134.01,0.00175581,9.41E-05
2137.58,0.00175867,9.43E-05
2141.15,0.00176154,9.44E-05
2144.69,0.00176441,9.46E-05
2148.19,0.00176728,9.47E-05
2151.59,0.00177015,9.49E-05
2155,0.00177301,9.51E-05
2158.6,0.00177588,9.52E-05
2162.14,0.00177875,9.54E-05
2165.68,0.00178162,9.55E-05
2169.19,0.00178448,9.57E-05
2172.73,0.00178735,9.58E-05
2176.2,0.00179021,9.60E-05
2179.64,0.00179308,9.61E-05
2183.16,0.00179594,9.63E-05
2186.6,0.00179881,9.65E-05
2190.04,0.00180168,9.66E-05
2193.51,0.00180455,9.68E-05
2197.05,0.00180741,9.69E-05
2200.61,0.00181028,9.71E-05
2204.06,0.00181315,9.72E-05
2207.54,0.00181601,9.74E-05
2211.02,0.00181888,9.75E-05
2214.46,0.00182175,9.77E-05
2217.84,0.00182461,9.79E-05
2221.31,0.00182748,9.80E-05
2224.83,0.00183033,9.82E-05
2228.36,0.0018332,9.83E-05
2231.79,0.00183607,9.85E-05
2235.33,0.00183894,9.86E-05
2238.91,0.00184181,9.88E-05
2242.43,0.00184467,9.89E-05
2245.92,0.00184753,9.91E-05
2249.43,0.0018504,9.93E-05
2252.99,0.00185326,9.94E-05
2256.48,0.00185613,9.96E-05
2259.99,0.001859,9.97E-05
2263.54,0.00186186,9.99E-05
2267.14,0.00186473,0.000100028
2270.73,0.00186759,0.000100185
2274.23,0.00187046,0.000100339
2277.79,0.00187332,0.000100494
2281.22,0.00187619,0.00010065
2284.65,0.00187905,0.000100805
2288.16,0.00188192,0.00010096
2291.64,0.00188478,0.000101117
2295.15,0.00188764,0.000101275
2298.6,0.00189051,0.00010143
2302.08,0.00189337,0.000101588
2305.51,0.00189624,0.000101745
2309.05,0.0018991,0.000101903
2312.63,0.00190197,0.000102056
2316.11,0.00190484,0.000102213
2319.58,0.0019077,0.00010237
2323.06,0.00191057,0.000102522
2326.57,0.00191344,0.000102673
2330.12,0.0019163,0.000102827
2333.61,0.00191917,0.000102984
2337.14,0.00192203,0.00010314
2340.73,0.0019249,0.000103294
2344.19,0.00192776,0.000103452
2347.68,0.00193062,0.00010361
2351.19,0.00193349,0.000103767
2354.68,0.00193636,0.000103918
2358.29,0.00193922,0.000104075
2361.83,0.00194209,0.00010423
2365.27,0.00194496,0.000104383
2368.76,0.00194782,0.000104542
2372.19,0.00195069,0.000104699
2375.75,0.00195355,0.000104856
2379.24,0.00195642,0.000105014
2382.69,0.00195928,0.00010517
2386.2,0.00196215,0.000105324
2389.67,0.00196502,0.000105476
2393.2,0.00196789,0.000105633
2396.78,0.00197075,0.000105793
2400.35,0.00197362,0.000105948
2403.95,0.00197649,0.000106102
2407.45,0.00197936,0.000106255
2411,0.00198223,0.000106408
2414.45,0.00198509,0.000106566
2417.95,0.00198796,0.000106725
2421.53,0.00199082,0.000106882
2424.98,0.00199369,0.000107038
2428.51,0.00199656,0.000107193
2432.09,0.00199943,0.000107348
2435.62,0.00200229,0.000107502
2439.15,0.00200516,0.000107657
2442.66,0.00200803,0.000107812
2446.26,0.0020109,0.000107964
2449.82,0.00201376,0.000108121
2453.34,0.00201663,0.000108275
2456.86,0.00201949,0.000108432
2460.26,0.00202236,0.000108591
2463.75,0.00202522,0.000108747
2467.25,0.0020281,0.000108899
2470.77,0.00203096,0.000109053
2474.24,0.00203383,0.000109205
2477.68,0.0020367,0.000109361
2481.19,0.00203957,0.000109513
2484.81,0.00204243,0.000109672
2488.27,0.00204529,0.000109828
2491.8,0.00204816,0.000109981
2495.3,0.00205103,0.00011014
2498.78,0.00205389,0.000110299
2502.23,0.00205675,0.000110456
2505.76,0.00205962,0.000110612
2509.39,0.00206248,0.000110767
2512.78,0.00206535,0.000110924
2516.28,0.00206822,0.000111078
2519.79,0.00207108,0.000111233
2523.39,0.00207395,0.000111389
2526.95,0.00207682,0.000111544
2530.47,0.00207968,0.0001117
2534.02,0.00208255,0.000111856
2537.63,0.00208541,0.000112008
2541.07,0.00208828,0.000112165
2544.59,0.00209114,0.000112322
2548.07,0.00209401,0.000112479
2551.55,0.00209687,0.000112637
2555.12,0.00209973,0.000112794
2558.64,0.0021026,0.000112948
2562.15,0.00210547,0.000113101
2565.72,0.00210834,0.000113258
2569.19,0.0021112,0.000113412
2572.69,0.00211407,0.000113567
2576.13,0.00211694,0.000113723
2579.69,0.00211981,0.000113878
2583.21,0.00212268,0.000114036
2586.63,0.00212554,0.000114194
2590.17,0.0021284,0.000114352
2593.61,0.00213126,0.000114509
2597.13,0.00213413,0.000114668
2600.69,0.00213699,0.000114824
2604.21,0.00213986,0.00011498
2607.72,0.00214272,0.000115141
2611.18,0.00214558,0.000115298
2614.67,0.00214844,0.00011546
2618.18,0.0021513,0.000115618
2621.79,0.00215417,0.000115777
2625.41,0.00215703,0.000115931
2628.96,0.00215991,0.000116081
2632.52,0.00216276,0.000116241
2636.02,0.00216562,0.0001164
2639.61,0.00216849,0.000116555
2643.2,0.00217135,0.000116714
2646.71,0.00217422,0.000116866
2650.28,0.00217709,0.000117018
2653.79,0.00217996,0.000117173
2657.26,0.00218282,0.00011733
2660.79,0.00218568,0.000117489
2664.36,0.00218855,0.000117644
2667.97,0.00219141,0.000117801
2671.5,0.00219427,0.000117956
2675.12,0.00219714,0.000118114
2678.64,0.0022,0.000118271
2682.15,0.00220287,0.000118426
2685.65,0.00220573,0.000118583
2689.2,0.00220859,0.000118739
2692.65,0.00221147,0.000118891
2696.17,0.00221433,0.000119047
2699.7,0.0022172,0.000119201
2703.17,0.00222007,0.00011935
2706.67,0.00222293,0.000119506
2710.18,0.0022258,0.000119663
2713.7,0.00222867,0.00011982
2717.27,0.00223154,0.000119975
2720.73,0.0022344,0.000120134
2724.24,0.00223726,0.000120291
2727.86,0.00224012,0.000120449
2731.44,0.00224299,0.000120605
2734.97,0.00224586,0.000120756
2738.57,0.00224873,0.000120912
2742.02,0.0022516,0.000121067
2745.53,0.00225446,0.000121224
2749.05,0.00225732,0.000121387
2752.6,0.00226019,0.00012154
2756.14,0.00226305,0.000121696
2759.63,0.00226591,0.000121852
